1;"В  районный суд г истец:  Представитель истца: телефон: ответчик:  третье лицо: УФМС по г.  Департамент Жилищной Политики и Жилищного Фонда г.  Госпошлина: на основании п. 3 ч. 1 ст. 333.19 НК РФ  составляет рублей ИСКОВОЕ ЗАЯВЛЕНИЕ
о признании утратившей право пользования жилым помещением  и снятии с регистрационного учета
";"На основании договора социального найма № ________________ от ____________ г., заключенного между мной - ____________________, именуемой в дальнейшем «__________», и Департаментом жилищной политики и жилищного фонда г. _________ в ЮАО, именуемый в дальнейшем «_________», мне было предоставлено жилое помещение - квартира, расположенная по адресу:_____________________________
В соответствии с указанным договором совместно с нанимателем в жилое помещение были вселены в качестве членов его семьи следующие лица:
______________________ – наниматель;
______________________ – сын;
______________________ – супруг;
______________________ – сын.
Решением _____________ районного суда от ____________ г. брак между мной и __________ расторгнут. Свидетельство о расторжении брака _____ № __________ от __________ г.
В настоящее время в указанной квартире зарегистрированы: 
_______________________ – наниматель;
_______________________ – бывший супруг;
_______________________ – сын.
___________ г. _____________________ собрал все принадлежавшие ему вещи и сообщил, что больше проживать в квартире не будет, выехал на другое место жительства, где и проживает в настоящее время. 
Таким образом, ответчик с __________ года не проживал и не проживает на спорной жилой площади до настоящего времени. 
Согласно ст. 69 ЖК РФ, члены семьи нанимателя жилого помещения по договору социального найма имеют равные с нанимателем права и обязанности. Дееспособные и ограниченные судом в дееспособности члены семьи нанимателя жилого помещения по договору социального найма несут солидарную с нанимателем ответственность по обязательствам, вытекающим из договора социального найма.
Какой-либо помощи по оплате коммунальных и иных платежей по содержанию жилого помещения ответчик никогда не оказывал. Бремя содержания жилого помещения несу я - _____________________.
В настоящее время место проживания ответчика мне не известно.
На основании ст. 71 ЖК РФ, временное отсутствие нанимателя жилого помещения по договору социального найма, кого-либо из проживающих совместно с ним членов его семьи или всех этих граждан не влечет за собой изменение их прав и обязанностей по договору социального найма.
Из разъяснений, содержащихся в п. 32 Постановления Пленума Верховного Суда РФ №14 от 2 июля 2009 года «О некоторых вопросах, возникших в судебной практике при применении Жилищного кодекса РФ» следует, что при временном отсутствии нанимателя жилого помещения и (или) членов его семьи, включая бывших членов семьи, за ними сохраняются все права и обязанности по договору социального найма жилого помещения (статья 71 ЖК РФ). Если отсутствие в жилом помещении указанных лиц не носит временного характера, то заинтересованные лица (наймодатель, наниматель, члены семьи нанимателя) вправе потребовать в судебном порядке признания их утратившими право на жилое помещение на основании части 3 статьи 83 ЖК РФ в связи с выездом в другое место жительства и расторжения тем самым договора социального найма. 
Разрешая споры о признании нанимателя, члена семьи нанимателя или бывшего члена семьи нанимателя жилого помещения утратившими право пользования жилым помещением по договору социального найма вследствие их постоянного отсутствия в жилом помещении по причине выезда из него, судам надлежит выяснять: по какой причине и как долго ответчик отсутствует в жилом помещении, носит ли его выезд из жилого помещения вынужденный характер (конфликтные отношения в семье, расторжение брака) или добровольный, временный (работа, обучение, лечение и т.п.) или постоянный (вывез свои вещи, переехал в другой населенный пункт, вступил в новый брак и проживает с новой семьей в другом жилом помещении и т.п.), не чинились ли ему препятствия в пользовании жилым помещением со стороны других лиц, проживающих в нем, приобрел ли ответчик право пользования другим жилым помещением в новом месте жительства, исполняет ли он обязанности по договору по оплате жилого помещения и коммунальных услуг и др. 
При установлении судом обстоятельств, свидетельствующих о добровольном выезде ответчика из жилого помещения в другое место жительства и об отсутствии препятствий в пользовании жилым помещением, а также о его отказе в одностороннем порядке от прав и обязанностей по договору социального найма, иск о признании его утратившим право на жилое помещение подлежит удовлетворению на основании части 3 статьи 83 ЖК РФ в связи с расторжением ответчиком в отношении себя договора социального найма.
Отсутствие же у гражданина, добровольно выехавшего из жилого помещения в другое место жительства, в новом месте жительства права пользования жилым помещением по договору социального найма или права собственности на жилое помещение само по себе не может являться основанием для признания отсутствия этого гражданина в спорном жилом помещении временным, поскольку согласно части 2 статьи 1 ЖК РФ граждане по своему усмотрению и в своих интересах осуществляют принадлежащие им жилищные права. Намерение гражданина отказаться от пользования жилым помещением по договору социального найма может подтверждаться различными доказательствами, в том числе и определенными действиями, в совокупности свидетельствующими о таком волеизъявлении гражданина как стороны в договоре найма жилого помещения.
Таким образом, исходя из вышеприведенных норм наличие регистрации у _______________ в квартире, не свидетельствует о наличии у него права пользования спорным жилым помещением, поскольку он добровольно выехал из спорной квартиры, забрав все принадлежащие ему вещи, и не проживает на указанной жилой площади длительное время.
На основании изложенного и руководствуясь ст.ст. 69; 71, 83 ЖК РФ, -
ПРОШУ СУД:
1. Признать _________________________, ____________ года рождения, утратившим право пользования жилым помещением в квартире, расположенной по адресу ________________________________
2. Снять _____________________________, _________ года рождения с регистрационного учета по адресу: _____________________________________
Приложения:
1. Копии искового заявления;
2. Квитанция об уплате госпошлины;
3. Копия договора социального найма ____________ года; 
5. Копия выписки из домовой книги;
6. Копия финансово-лицевого счета;
7. Копии квитанций об оплате коммунальных услуг.

Представитель ____________________ 
__________________
« » ______________ года

"
1;"В (наименование суда)
Истец:(ФИО полностью, адрес)
Ответчик: (ФИО полностью, адрес)
ИСКОВОЕ ЗАЯВЛЕНИЕ о признании утратившим право пользования жилым помещением
и снятии с регистрационного учета
";"Я являюсь собственником жилого помещения по адресу _________ (область, город, улица, дом, квартира), на основании _______ (указать документ: договор купли-продажи, мены, приватизации, свидетельство о праве наследования и др.). Право собственности зарегистрировано в ЕГРП.
С ____ года в квартиру в качестве члена моей семьи был вселен ответчик _________ (указать конкретные отношения), с моего согласия ответчик зарегистрирован по месту жительства в спорном жилом помещении.
С ____ года наши отношения испортились, ответчик выехал на другое постоянное место жительства _________ (указать куда, причины выезда), вывез все принадлежащие ему вещи, с тех пор в квартире не проживает, обязательств по оплате за жилье и коммунальные услуги не выполняет. Препятствий в пользовании жилым помещением ответчик не имел. Фактически наши отношения с ответчиком прекращены, с момента выезда он перестал быть членом моей семьи.
Ответчик отказывается добровольно сняться с регистрационного учета в моей квартире. Наличие регистрации создает мне препятствия при продаже квартиры.
В соответствии с п. 31 Правил регистрации и снятия граждан РФ с регистрационного учета снятие гражданина с регистрационного учета по месту жительства производится органами регистрационного учета в случае признания гражданина утратившим право пользования жилым помещением - на основании вступившего в законную силу решения суда.
На основании изложенного, руководствуясь статьями 17, 31 Жилищного кодекса РФ, статьями 131-132 Гражданского процессуального кодекса РФ,
Прошу:
1.Прекратить право пользования ответчиком _________ (ФИО полностью) жилым помещением по адресу _________ (область, город, улица, дом, квартира).
2.Снять ответчика _________ (ФИО полностью) с регистрационного учета в квартире по адресу _________ (область, город, улица, дом, квартира).

Перечень прилагаемых к заявлению документов (копии по числу лиц, участвующих в деле):
1.Копия искового заявления
2.Документ, подтверждающий уплату государственной пошлины
3.Копия договора купли-продажи (или другого документа, подтверждающего право собственности)
4.Копия свидетельства о регистрации права
5.Справка о регистрации по месту жительства
6.Документы, подтверждающие выезд ответчика, утрату семейных отношений

Дата подачи заявления: ""___""_________ ____ г.            Подпись истца ________

"
1;"В (наименование суда)
Истец:  (ФИО полностью, адрес)
Ответчик:  (наименование органа местного 
самоуправления, адрес)
Цена иска: (стоимость самовольной постройки)
ИСКОВОЕ ЗАЯВЛЕНИЕ
о признании права собственности на постройку
";"Мне принадлежит земельный участок по адресу: _________ (полный адрес земельного участка), который предоставлен мне _________ (наименование органа, предоставившего земельный участок) ""___""_________ ____ г. на основании _________ (документы, подтверждающие предоставление земельного участка).
В _____ году я построил на принадлежащем мне земельном участке объект недвижимого имущества _________ (жилой дом или иное наименование объекта). При строительстве я не получал необходимые разрешения, поскольку _________ (указать, почему не получено разрешение на строительство). Возведенный мною объект недвижимого имущества обладает признаками самовольной постройки, так как _________ (указать признаки самовольной постройки, в соответствии со статьей 222 Гражданского кодекса РФ).
Возведенная мною самовольная постройка не нарушает прав и интересов других лиц, соответствует требованиям строительных и градостроительных нормативов, сохранение самовольной постройки не создает угрозы жизни и здоровью граждан. Указанные обстоятельства подтверждаются _________ (привести список заключений компетентных органов, подтверждающих указанные основания).
При обращении в _________ (наименование органа местного самоуправления)  мне было отказано в получении разрешения на строительство и акта ввода объекта недвижимого имущества в эксплуатацию, поскольку _________ (если получен ответ, указать основания отказа). Иным путем, кроме обращения в суд, я лишен возможности признать право собственности на самовольную постройку.
На основании изложенного, руководствуясь статьей 222 Гражданского кодекса РФ, статьями 131-132 Гражданского процессуального кодекса РФ,
Прошу:
1. Признать право собственности _________ (ФИО истца) на объект недвижимого имущества _________ (наименование самовольной постройки), расположенный по адресу: _________.
Перечень прилагаемых к заявлению документов (копии по числу лиц, участвующих в деле):
1. Копия искового заявления
2. Документ, подтверждающий уплату государственной пошлины
3. Копия документа, подтверждающего права на земельный участок
4. Документы, подтверждающие возведение самовольной постройки
5. Заключение Роспотребнадзора
6. Заключение Госпожназора
7. Заключение экспертной организации
8. Копия технического паспорта на объект недвижимости 
9. Документы, подтверждающие обращение в орган местного самоуправления за получением разрешения на строительство и ввод объекта в эксплуатацию
Дата подачи заявления ""___""_________ ____ г.                       Подпись истца: _______


"
1;"В (наименование суда)
ЗАЯВИТЕЛЬ  (фамилия, имя, отчество) прож.:  (полный адрес)
 ЗАЯВЛЕНИЕ
 о признании недееспособным
";"Мой муж__________________________________ ""___"" _______ 19__ г. рождения,
                  (фамилия, имя, отчество)
проживающий вместе  со  мной,  страдает  душевным  (или иным)  заболеванием и
с ""____"" _______ 19__ г. является инвалидом ____ группы.
     Из-за болезни  он  не  может понимать значения своих действий, руководить
ими и нуждается в опеке.
     На основании изложенного, в соответствии со ст. 29 ГК РФ, ст. 281 ГПК РФ

                                      ПРОШУ:

    1. Признать недееспособным гр.___________________________________________
                                       (фамилия, имя, отчество больного)
""__"" ________ 19__ г.   рождения,   уроженца ________________________________
                                                 (место рождения больного)
    В порядке досудебной подготовки прошу:
    а) истребовать выписку из истории болезни из районного ПНД;
    б) назначить   стационарную   судебно-психиатрическую    экспертизу,   на
разрешение  которой  поставить  вопрос  о  подтверждении  установленного  ПНД
диагноза и возможности ______________________________________________________
                                   (фамилия, имя, отчество больного)
в силу своего заболевания понимать значение своих действий и руководить ими.

    Приложения:
    1. Копия свидетельства о рождении мужа.
    2. Справка о заболевании и свидетельство об инвалидности.
    3. Копия искового заявления.
    4. Банковская квитанция об уплате госпошлины.

    Дата _____________________ Подпись ____________________




"
1;"В   районный суд <1>

                                   Истец: <2>
                                               (Ф.И.О. наследника)
                                   адрес:                                    телефон: факс:                                   адрес электронной почты: 
                                   Представитель истца: 
                                       (данные с учетом ст. 48 Гражданского
                                                    процессуального кодекса
Российской Федерации) адрес:  телефон:  факс: адрес электронной почты:
Ответчик:  (Ф.И.О. наследника) адрес: телефон:  факс:  адрес электронной почты: Госпошлина:  рублей <3> ИСКОВОЕ ЗАЯВЛЕНИЕ
о признании недействительными завещания и свидетельства
о праве на наследство";"               (Ф.И.О. наследодателя)
что подтверждается ___________________________________.
                     (копия свидетельства о смерти)
Завещание составлено ""___""_______ ____ г. в нотариальной форме по месту проживания (вариант: лечения и т.п.) наследодателя и удостоверено нотариусом (или иным полномочным лицом) ______________________________ (зарегистрировано в реестре за N _________________). Завещание составлено в пользу ответчика. В соответствии со ст. ___ Гражданского кодекса Российской Федерации он является наследником ___ очереди.
    Истец является ________________________________________________________
(указать лицо, которое при отсутствии оспариваемого завещания в силу
__________________________________________________________________________,
закона или иного завещания однозначно бы наследовало имущество, оставшееся
после смерти наследодателя)
что подтверждается ___________________________.
Наследодатель завещал ответчику следующее имущество и деньги: _____________
__________________________________________________________________________.
   (перечень имущества с индивидуализирующими признаками, его стоимость)
В связи с _________________________________________________________________
            (обстоятельства, подтверждающие невозможность выражения воли
___________________________________________________________________________
наследодателя при составлении завещания в силу физического или психического
__________________________, что подтверждается выпиской из истории болезни,
 состояния)
выданной _____________________________________________, указанное завещание
           (наименование медицинского учреждения)
оспоримо в соответствии с п. 1 ст. 1131 Гражданского   кодекса   Российской
Федерации <4>.
    Указанные факты подтверждают  также   свидетельские показания следующих
лиц: _______________________________.
            (Ф.И.О. свидетелей)
Кроме того, при составлении оспариваемого завещания были допущены нарушения его оформления: __________________________________ <5>.
""___""________ ____ г. на имя ответчика нотариусом _____________________ было выдано свидетельство о праве на наследство N ___________.
Последствия недействительности завещания предусмотрены ст. ст. 166, 167, 1131 Гражданского кодекса Российской Федерации. Недействительное завещание не наделяет наследников по завещанию правами и обязанностями. Если наследство было принято, то все полученное по недействительному завещанию подлежит передаче действительным наследникам, а выданное свидетельство о праве на наследство, заключенные договоры на основании недействительного завещания подлежат признанию недействительными.
В соответствии со ст. 167 Гражданского кодекса Российской Федерации свидетельства  о праве на   наследство, выданные на основании недействительного завещания, признаются судом недействительными.
В связи с вышеизложенным и на основании ст. ст. 166, 167, ____, п. 1 ст. 1131 Гражданского кодекса Российской Федерации, ст. ст. 131, 132 Гражданского процессуального кодекса Российской Федерации,

ПРОШУ СУД:

1) Признать недействительным завещание _______________ от ""___""_____ ___ г.
                                  (фамилия, имя, отчество)

2) Признать  недействительным  свидетельство   о  праве  на   наследство от
""___""___________ _____ г. N ____________, выданное на  основании  завещания
_______________________ от ""___""_______ ____ г.
(фамилия, имя, отчество)

    Приложения:
    1. Копия свидетельства о смерти ______________________________ от ""___""
                                        (Ф.И.О. наследодателя)
________________ ____ г. N ___.
2. Копия завещания от ""___""_______ ____ г.
3. Документы, подтверждающие родственные связи истца и наследодателя (например, копия свидетельства от ""___""______ ____ г. N ___ о рождении истца).
4. Копия выписки из истории болезни наследодателя.
5. Копия свидетельства о наследстве от ""___""_______ ____ г. N ___, выданная ответчику.
6. Ходатайство о вызове в суд свидетелей истца <6>.
7. Копии искового заявления и приложенных к нему документов ответчику.
8. Документ, подтверждающий уплату государственной пошлины.
9. Доверенность представителя от ""___""__________ ____ г. N ___ (если исковое заявление подписывается представителем истца).
10. Иные документы, подтверждающие обстоятельства, на которых истец основывает свои требования.

""___""_________ ____ г.

    Истец (представитель):
    ________________/__________________________________________/
        (подпись)                    (Ф.И.О.)

--------------------------------
<1> Иски по спорам о наследовании имущества в качестве суда первой инстанции рассматривает районный суд (п. 5 ч. 1 ст. 23, ст. 24 Гражданского процессуального кодекса Российской Федерации).
<2> Завещание может быть признано судом недействительным по иску лица, права или законные интересы которого нарушены этим завещанием. Оспаривание завещания до открытия наследства не допускается (п. 2 ст. 1131 Гражданского кодекса Российской Федерации).
В случае, если требование о недействительности завещания предъявлено до открытия наследства, суд отказывает в принятии заявления, а если заявление принято, - прекращает производство по делу (часть 1 статьи 3, часть 1 статьи 4, часть 2 статьи 134, статья 221 Гражданского процессуального кодекса Российской Федерации, п. 27 Постановления Пленума Верховного Суда Российской Федерации от 29.05.2012 N 9 ""О судебной практике по делам о наследовании"").
<3> Госпошлина при подаче искового заявления имущественного характера, не подлежащего оценке, а также искового заявления неимущественного характера, определяется в соответствии с пп. 3 п. 1 ст. 333.19 Налогового кодекса Российской Федерации.
<4> Как указал Пленум Верховного Суда Российской Федерации в п. 27 Постановления от 29.05.2012 N 9 ""О судебной практике по делам о наследовании"" завещание может быть признано недействительным по решению суда, в частности, в случаях: несоответствия лица, привлеченного в качестве свидетеля, а также лица, подписывающего завещание по просьбе завещателя (абзац второй пункта 3 статьи 1125  Гражданского кодекса Российской Федерации), требованиям, установленным пунктом 2 статьи 1124  Гражданского кодекса Российской Федерации; присутствия при составлении, подписании, удостоверении завещания и при его передаче нотариусу лица, в пользу которого составлено завещание или сделан завещательный отказ, супруга такого лица, его детей и родителей (пункт 2 статьи 1124  Гражданского кодекса Российской Федерации); в иных случаях, если судом установлено наличие нарушений порядка составления, подписания или удостоверения завещания, а также недостатков завещания, искажающих волеизъявление завещателя.
К завещаниям, совершенным до введения в действие части третьей Гражданского кодекса Российской Федерации, т.е. до 1 марта 2002 года, применяются правила об основаниях недействительности завещания, действовавшие на день совершения завещания (ст. 7 Федерального закона от 26.11.2001 N 147-ФЗ ""О введении в действие части третьей Гражданского кодекса Российской Федерации"").
<5> В соответствии с п. 3 ст. 1131 Гражданского кодекса Российской Федерации не могут служить основанием недействительности завещания описки и другие незначительные нарушения порядка его составления, подписания или удостоверения, если судом установлено, что они не влияют на понимание волеизъявления завещателя.
<6> Согласно ч. 2 ст. 69 Гражданского процессуального кодекса Российской Федерации лицо, ходатайствующее о вызове свидетеля, обязано указать, какие обстоятельства, имеющие значение для рассмотрения и разрешения дела, может подтвердить свидетель, и сообщить суду его имя, отчество, фамилию и место жительства.
"
2;"Мировому судье судебного участка 
№ по городу Истец:  (ФИО полностью, адрес)
в интересах  (ФИО ребенка, адрес)

Ответчик:  (ФИО полностью, адрес)  
ИСКОВОЕ ЗАЯВЛЕНИЕ
о взыскании алиментов на совершеннолетнего ребенка
";"Ответчик является отцом (матерью) _________ (ФИО совершеннолетнего ребенка) «___»____________ ____ года рождения.
Ответчик с ребенком не проживает _________ (указать причину), материальной поддержки не оказывает.
_________ (ФИО совершеннолетнего ребенка) является нетрудоспособным _________ (указать причину нетрудоспособности) с «___»____________ ____ г., что подтверждается _________ (чем подтверждается нетрудоспособность).
_________ (ФИО совершеннолетнего ребенка) нуждается в материальной помощи, поскольку его доходы состоят из _________ (указать источник дохода совершеннолетнего ребенка, размер этого дохода в месяц).
Решить вопрос о материальной помощи во внесудебном порядке ответчик не желает _________ (указать причины), соглашение об уплате алиментов не заключалось.
Ответчик должен выплачивать алименты на содержание своего совершеннолетнего ребенка в твердой денежной сумме, размер алиментов должен составлять ____ руб., что даст возможность обеспечить совершеннолетнему ребенку достойное существование.  
Прошу учесть семейное положение сторон при решении вопроса о размере подлежащих уплате алиментов _________ (указать про семейное положение ребенка и ответчика, наличие обязательств по содержанию других лиц).
С учетом изменения потребительских цен необходимо определить механизм индексации алиментов, взысканных на содержание совершеннолетнего нетрудоспособного ребенка, нуждающегося в помощи, исходя из изменения размера прожиточного минимума.
На основании изложенного, руководствуясь статьями 85, 117 Семейного кодекса РФ, статьями 131-132 Гражданского процессуального кодекса РФ,
Прошу:
1. Взыскать с _________ (ФИО ответчика) в пользу _________ (ФИО совершеннолетнего ребенка) ежемесячно алименты в _______ (указать размер алиментов, можно в денежном выражении, можно в долях к прожиточному минимуму).
2. Установить порядок индексации алиментов в зависимости от изменения величины прожиточного минимума на территории  _________ (указать  субъект РФ или в целом по РФ).
Перечень прилагаемых к заявлению документов (копии по числу лиц, участвующих в деле):
1. Копия искового заявления
2. Копия свидетельства о рождении ребенка
3. Документ, подтверждающий нетрудоспособность ребенка (справка МСЭ)
4. Справка о доходах ребенка (размер пенсии, пособия)
5. Документы, подтверждающие размер необходимого материального обеспечения ребенка
6. Другие документы, подтверждающие основания искового заявления о взыскании алиментов на совершеннолетнего ребенка
Дата подачи заявления ""___""_________ ____ г.                       Подпись истца: _______

"
2;"Мировому судье судебного участка 
№ по городу Истец:  (ФИО полностью, адрес) 
Ответчик:  (ФИО полностью, адрес)  
ИСКОВОЕ ЗАЯВЛЕНИЕ
о взыскании алиментов на содержание бывшего супруга
";"Мы с _________ (ФИО ответчика) вступили в брак ""___""_________ ____ г., проживали совместно до ""___""_________ ____ г. В период брака алименты на содержание супруга не взыскивались.
""___""_________ ____ г. наш брак был расторгнут _________ (указать основания расторжения брака).
Я работаю _________ (где и кем, если не работает, указать причины), заработная плата составляет _______ руб., получаю дополнительный доход _______ руб.,  _________ (указать источники дохода). Однако ежемесячно я нуждаюсь в _______ руб., поскольку _________ (указать постоянные ежемесячные необходимые затраты истца с подробным расчетом денежной суммы). Разница составляет _______ руб., которую необходимо взыскать с ответчика.
Я проживаю _________ (указать, где и с кем проживает истец), на моем иждивении находится _________ (указать иждивенцев), я выплачиваю ежемесячно в счет исполнения обязательств _________ (указать наличие дополнительных обязательств). 
Ответчик достаточно обеспечен, его заработок составляет _______ руб. ежемесячно, кроме того, он имеет дополнительный доход _______ руб., который получает _________ (указать источники дохода).
Ответчик _________ (указать, где и с кем проживает ответчик, другие известные данные о его семейном и материальном положении, наличии обязательств перед другими людьми).
Добровольно оказывать мне материальную помощь ответчик отказался, соглашения об оплате алиментов между нами не заключалось. Свою позицию ответчик обосновывает тем, что _________ (указать причины отказа).
При определении размера алиментов, подлежащих взысканию с ответчика, необходимо учесть наше материальное и семейное положение, обеспеченность ответчика и мою нуждаемость. Учитывая прожиточный минимум в _________ (наименование субъекта РФ, где проживает истец) размер алиментов составит ____ (указать размер твердой денежной суммы в долях к прожиточному минимуму, например, ? или 1,5 или 2), размер алиментов подлежит индексации, исходя из возможного изменения прожиточного минимума в период взыскания.
На основании изложенного, руководствуясь статьями 90-91, 117 Семейного кодекса РФ, статьями 131-132 Гражданского процессуального кодекса РФ,
Прошу:
1. Взыскать с _________ (ФИО ответчика) в пользу _________ (ФИО истца)  ежемесячно алименты в твердой денежной сумме ____ (указать размер твердой денежной суммы в долях к прожиточному минимуму) на содержание бывшего супруга с ""___""_________ ____ г.
2. Установить, что взысканные судом алименты подлежат индексации, исходя из изменения величины прожиточного минимума на территории  _________ (указать  субъект Российской Федерации или в целом по Российской Федерации).
Перечень прилагаемых к заявлению документов (копии по числу лиц, участвующих в деле):
1. Копия искового заявления
2. Копия свидетельства о расторжении брака
3. Копия актовой записи о заключении брака
4. Копия свидетельства о рождении детей
5. Документы, подтверждающие нуждаемость истца в получении содержания
6. Документы, подтверждающие доходы истца
7. Документы, подтверждающие размер необходимого обеспечения истца
8. Другие документы, подтверждающие основания искового заявления о взыскании алиментов на содержание бывшего супруга

Дата подачи заявления ""___""_________ ____ г.                       Подпись истца: _______
"
